日期,时间,纬度,纬度方向,经度,经度方向,地面速率,航向,海拔
2017年05月10日,01时37分15秒,40'47.760,北纬,111'41.670,东经,019.6,338.8,1056ft
2017年05月10日,01时37分16秒,40'47.765,北纬,111'41.668,东经,020.3,338.1,1056ft
2017年05月10日,01时37分17秒,40'47.770,北纬,111'41.665,东经,020.1,338.9,1056ft
2017年05月10日,01时37分18秒,40'47.776,北纬,111'41.663,东经,020.0,340.1,1056ft
2017年05月10日,01时37分19秒,40'47.781,北纬,111'41.660,东经,020.8,341.3,1057ft
2017年05月10日,01时37分20秒,40'47.787,北纬,111'41.658,东经,021.8,342.9,1057ft
2017年05月10日,01时37分21秒,40'47.793,北纬,111'41.656,东经,022.9,344.0,1057ft
2017年05月10日,01时37分22秒,40'47.800,北纬,111'41.653,东经,023.5,343.0,1058ft
2017年05月10日,01时37分23秒,40'47.806,北纬,111'41.650,东经,023.8,343.2,1059ft
2017年05月10日,01时37分24秒,40'47.813,北纬,111'41.648,东经,023.1,343.9,1059ft
2017年05月10日,01时37分25秒,40'47.818,北纬,111'41.646,东经,020.1,345.0,1060ft
2017年05月10日,01时37分26秒,40'47.823,北纬,111'41.645,东经,015.3,346.2,1060ft
